,book_id,title,image_url,tag_id,count,tag_name
0,1,"The Hunger Games (The Hunger Games, #1)",https://images.gr-assets.com/books/1447303603m/2767052.jpg,11305,10836,fantasy
1,2,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",https://images.gr-assets.com/books/1474154022m/3.jpg,11305,47478,fantasy
2,3,"Twilight (Twilight, #1)",https://images.gr-assets.com/books/1361039443m/41865.jpg,11305,14288,fantasy
3,7,The Hobbit,https://images.gr-assets.com/books/1372847500m/5907.jpg,11305,41786,fantasy
5,12,"Divergent (Divergent, #1)",https://images.gr-assets.com/books/1328559506m/13335037.jpg,11305,5134,fantasy
6,13,1984,https://images.gr-assets.com/books/1348990566m/5470.jpg,11305,879,fantasy
7,14,Animal Farm,https://images.gr-assets.com/books/1424037542m/7613.jpg,11305,2179,fantasy
8,17,"Catching Fire (The Hunger Games, #2)",https://images.gr-assets.com/books/1358273780m/6148028.jpg,11305,8658,fantasy
9,18,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",https://images.gr-assets.com/books/1499277281m/5.jpg,11305,39330,fantasy
10,19,"The Fellowship of the Ring (The Lord of the Rings, #1)",https://images.gr-assets.com/books/1298411339m/34.jpg,11305,31618,fantasy
11,20,"Mockingjay (The Hunger Games, #3)",https://images.gr-assets.com/books/1358275419m/7260188.jpg,11305,8021,fantasy
12,21,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",https://images.gr-assets.com/books/1387141547m/2.jpg,11305,3441,fantasy
14,23,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",https://images.gr-assets.com/books/1474169725m/15881.jpg,11305,39501,fantasy
15,24,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",https://images.gr-assets.com/books/1361482611m/6.jpg,11305,38378,fantasy
16,25,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",https://images.gr-assets.com/books/1474171184m/136251.jpg,11305,37296,fantasy
18,27,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",https://images.gr-assets.com/books/1361039191m/1.jpg,11305,37174,fantasy
20,35,The Alchemist,https://images.gr-assets.com/books/1483412266m/865.jpg,11305,2297,fantasy
21,36,"The Giver (The Giver, #1)",https://images.gr-assets.com/books/1342493368m/3636.jpg,11305,252,fantasy
22,37,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",https://images.gr-assets.com/books/1353029077m/100915.jpg,11305,19280,fantasy
24,39,"A Game of Thrones (A Song of Ice and Fire, #1)",https://images.gr-assets.com/books/1436732693m/13496.jpg,11305,1422,fantasy
25,41,"The Lightning Thief (Percy Jackson and the Olympians, #1)",https://images.gr-assets.com/books/1400602609m/28187.jpg,11305,16461,fantasy
26,45,Life of Pi,https://images.gr-assets.com/books/1320562005m/4214.jpg,11305,2012,fantasy
28,48,Fahrenheit 451,https://images.gr-assets.com/books/1351643740m/4381.jpg,11305,842,fantasy
29,49,"New Moon (Twilight, #2)",https://images.gr-assets.com/books/1361039440m/49041.jpg,11305,10301,fantasy
32,52,"Eclipse (Twilight, #3)",https://images.gr-assets.com/books/1361038355m/428263.jpg,11305,9913,fantasy
33,53,"Eragon (The Inheritance Cycle, #1)",https://images.gr-assets.com/books/1366212852m/113436.jpg,11305,18952,fantasy
34,54,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",https://images.gr-assets.com/books/1327656754m/11.jpg,11305,3428,fantasy
35,55,Brave New World,https://images.gr-assets.com/books/1487389574m/5129.jpg,11305,719,fantasy
36,56,"Breaking Dawn (Twilight, #4)",https://images.gr-assets.com/books/1361039438m/1162543.jpg,11305,596,fantasy
37,59,Charlotte's Web,https://images.gr-assets.com/books/1439632243m/24178.jpg,11305,1278,fantasy
38,62,"The Golden Compass (His Dark Materials, #1)",https://images.gr-assets.com/books/1451271747m/119322.jpg,11305,18539,fantasy
39,65,Slaughterhouse-Five,https://images.gr-assets.com/books/1440319389m/4981.jpg,11305,491,fantasy
